Date,Price,Open,High,Low,Volume,Chg%
Apr 2008,5165.90,4735.65,5230.75,4628.75,2.68B,9.11%
Mar 2008,4734.50,5222.80,5222.80,4468.55,2.64B,-9.36%
Feb 2008,5223.50,5140.60,5545.20,4803.60,2.12B,1.67%
Jan 2008,5137.45,6136.75,6357.10,4448.50,3.14B,-16.31%
Dec 2007,6138.60,5765.45,6185.40,5676.70,2.06B,6.52%
Nov 2007,5762.75,5903.80,6011.95,5394.35,3.53B,-2.34%
Oct 2007,5900.65,5021.50,5976.00,5000.95,3.50B,17.51%
Sep 2007,5021.35,4466.65,5055.80,4445.55,1.88B,12.49%
Aug 2007,4464.00,4528.85,4532.90,4002.20,1.73B,-1.43%
Jul 2007,4528.85,4318.40,4647.95,4304.00,1.92B,4.88%
Jun 2007,4318.30,4296.05,4362.95,4100.80,1.58B,0.52%
May 2007,4295.80,4089.45,4306.75,3981.15,1.72B,5.09%
Apr 2007,4087.90,3820.00,4217.90,3617.00,1.64B,6.97%
Mar 2007,3821.55,3745.40,3901.75,3554.50,1.79B,2.04%
Feb 2007,3745.30,4083.40,4245.30,3674.85,1.55B,-8.26%
Jan 2007,4082.70,3966.25,4167.15,3833.60,1.52B,2.93%
Dec 2006,3966.40,3955.70,4046.85,3657.65,1.35B,0.30%
Nov 2006,3954.50,3744.10,3976.80,3737.00,1.52B,5.62%
Oct 2006,3744.10,3588.95,3782.85,3508.65,1.41B,4.34%
Sep 2006,3588.40,3414.00,3603.70,3328.45,1.40B,5.11%
Aug 2006,3413.90,3128.20,3452.30,3113.60,1.37B,8.61%
Jul 2006,3143.20,3128.75,3208.85,2878.25,1.59B,0.48%
Jun 2006,3128.20,3072.55,3134.15,2595.65,2.15B,1.86%
May 2006,3071.05,3557.55,3774.15,2896.40,2.39B,-13.68%
Apr 2006,3557.60,3403.15,3598.95,3290.35,1.83B,4.56%
Mar 2006,3402.55,3074.60,3433.85,3064.00,2.09B,10.66%
Feb 2006,3074.70,3001.30,3090.30,2928.10,1.44B,2.45%
Jan 2006,3001.10,2836.80,3005.10,2783.85,1.58B,5.80%
Dec 2005,2836.55,2651.60,2857.00,2641.95,1.71B,6.95%
Nov 2005,2652.25,2366.80,2727.05,2366.80,1.41B,11.86%
Oct 2005,2370.95,2601.00,2669.20,2307.45,1.74B,-8.86%
Sep 2005,2601.40,2384.70,2633.90,2382.90,1.48B,9.09%
Aug 2005,2384.65,2312.05,2426.65,2294.25,1.56B,3.13%
Jul 2005,2312.30,2220.45,2332.55,2171.25,1.29B,4.13%
Jun 2005,2220.60,2087.80,2226.15,2061.35,1.32B,6.37%
May 2005,2087.55,1903.10,2099.35,1898.15,1.15B,9.73%
Apr 2005,1902.50,2035.90,2084.90,1896.30,1.14B,-6.54%
Mar 2005,2035.65,2103.10,2183.45,1971.15,1.61B,-3.21%
Feb 2005,2103.25,2057.75,2110.15,2036.60,1.48B,2.22%
Jan 2005,2057.60,2080.00,2120.15,1894.40,1.73B,-1.10%
Dec 2004,2080.50,1960.75,2088.45,1944.50,1.95B,6.21%
Nov 2004,1958.80,1787.30,1963.80,1776.70,1.55B,9.62%
Oct 2004,1786.90,1744.40,1829.45,1737.85,1.73B,2.37%
Sep 2004,1745.50,1631.70,1760.80,1619.90,2.27B,6.97%
Aug 2004,1631.75,1631.55,1658.90,1573.70,2.43B,-0.03%
Jul 2004,1632.30,1506.65,1638.70,1472.55,2.93B,8.42%
Jun 2004,1505.60,1483.90,1566.50,1437.90,2.28B,1.48%
May 2004,1483.60,1796.10,1837.95,1292.20,2.39B,-17.40%
Apr 2004,1796.10,1771.45,1912.35,1771.45,2.04B,1.37%
Mar 2004,1771.90,1798.35,1898.70,1669.70,2.44B,-1.58%
Feb 2004,1800.30,1809.30,1935.80,1755.65,2.34B,-0.52%
Jan 2004,1809.75,1880.35,2014.65,1756.25,2.72B,-3.72%
Dec 2003,1879.75,1615.85,1914.40,1615.70,2.34B,16.38%
Nov 2003,1615.25,1556.50,1630.25,1509.15,2.31B,3.81%
Oct 2003,1555.90,1416.60,1574.10,1407.95,3.47B,9.79%
Sep 2003,1417.10,1356.70,1430.70,1285.25,3.22B,4.46%
Aug 2003,1356.55,1185.80,1365.80,1164.75,3.09B,14.39%
Jul 2003,1185.85,1133.95,1198.50,1089.30,1.77B,4.56%
Jun 2003,1134.15,1006.85,1141.30,1004.70,1.47B,12.65%
May 2003,1006.80,930.90,1013.85,930.80,1.28B,7.79%
Apr 2003,934.05,977.40,1033.45,920.00,1.21B,-4.51%
Mar 2003,978.20,1063.55,1070.85,974.10,894.12M,-8.01%
Feb 2003,1063.40,1040.25,1075.50,1034.10,977.16M,2.07%
Jan 2003,1041.85,1093.60,1105.60,1026.20,1.27B,-4.72%
Dec 2002,1093.50,1050.15,1103.95,1034.10,1.34B,4.13%
Nov 2002,1050.15,951.45,1057.45,946.40,1.18B,10.38%
Oct 2002,951.40,961.15,983.60,920.10,1.04B,-1.22%
Sep 2002,963.15,1010.90,1024.65,960.20,858.72M,-4.70%
Aug 2002,1010.60,959.20,1012.75,935.55,945.39M,5.39%
Jul 2002,958.90,1058.00,1087.40,943.60,988.64M,-9.35%
Jun 2002,1057.80,1029.25,1102.05,1029.25,830.00M,2.82%
May 2002,1028.80,1084.80,1136.55,1020.10,1.01B,-5.14%
Apr 2002,1084.50,1129.85,1153.30,1073.30,874.09M,-3.99%
Mar 2002,1129.55,1142.05,1201.10,1117.85,929.78M,-1.09%
Feb 2002,1142.05,1076.95,1205.95,1069.40,1.29B,6.20%
Jan 2002,1075.40,1058.85,1121.75,1052.05,1.42B,1.54%
Dec 2001,1059.05,1067.20,1132.65,1010.45,1.06B,-0.76%
Nov 2001,1067.15,973.55,1097.60,973.55,1.08B,9.80%
Oct 2001,971.90,914.65,1000.95,884.65,982.27M,6.35%
Sep 2001,913.85,1054.65,1059.90,849.95,946.78M,-13.28%
Aug 2001,1053.75,1073.00,1084.00,1051.75,755.98M,-1.78%
Jul 2001,1072.85,1108.35,1127.15,1046.90,576.87M,-3.16%
Jun 2001,1107.90,1168.10,1175.80,1060.05,843.59M,-5.14%
May 2001,1167.90,1125.45,1207.00,1096.25,986.61M,3.79%
Apr 2001,1125.25,1148.10,1171.85,1000.10,853.34M,-2.00%
Mar 2001,1148.20,1351.75,1399.55,1098.75,1.18B,-15.04%
Feb 2001,1351.40,1371.50,1422.95,1281.90,2.11B,-1.48%
Jan 2001,1371.70,1263.50,1396.05,1248.55,1.99B,8.56%
Dec 2000,1263.55,1268.10,1369.50,1207.95,1.59B,-0.36%
Nov 2000,1268.15,1178.25,1281.00,1177.10,1.45B,8.13%
Oct 2000,1172.75,1270.75,1306.45,1108.20,1.04B,-7.78%
Sep 2000,1271.65,1395.95,1482.00,1249.35,980.56M,-8.78%
Aug 2000,1394.10,1332.85,1398.90,1295.45,942.05M,4.60%
Jul 2000,1332.85,1473.45,1564.75,1269.25,894.30M,-9.42%
Jun 2000,1471.45,1380.40,1539.10,1345.10,826.11M,6.59%
May 2000,1380.45,1410.00,1436.60,1201.50,642.45M,-1.86%
Apr 2000,1406.55,1528.70,1636.95,1311.30,751.69M,-7.98%
Mar 2000,1528.45,1661.50,1773.85,1489.10,655.71M,-7.64%
Feb 2000,1654.80,1546.20,1818.15,1521.40,690.44M,7.02%
Jan 2000,1546.20,1482.15,1671.15,1482.15,850.41M,4.44%
